config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,50,0.41108878977430285,0.17491733851852406,0.39516666666666667,0.64,done
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,50,0.2910095416029483,0.12578859418457936,0.24585470085470085,0.46,done
grounded_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,50,48,0.41290859932097673,0.13393432774560224,0.35542279411764705,0.6666666666666666,done
grounded_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,50,50,0.2775919419493865,0.07556397135622865,0.1572222222222222,0.38,done
minimal_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|minimal|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,minimal,ollama,50,50,0.4185143241656305,0.36723391580829473,0.4410476190476191,0.52,done
minimal_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|minimal|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,minimal,ollama,50,50,0.2722580892659312,0.17072555647778803,0.2635612270842738,0.44,done
minimal_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|minimal|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,minimal,ollama,50,49,0.4307741196998969,0.37583039062651596,0.5014222172385437,0.5510204081632653,done
minimal_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|minimal|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,minimal,ollama,50,49,0.21019838206675745,0.1468095586418288,0.3373414142985129,0.42857142857142855,done
grounded_complete_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded_complete|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded_complete,ollama,50,50,0.42035284967381165,0.27970079141900106,0.5141666666666667,0.6,done
grounded_complete_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded_complete|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded_complete,ollama,50,49,0.2665785845689087,0.15081344762803345,0.27603660511823774,0.46938775510204084,done
grounded_bge_norerank.yaml,fixed|sentence_transformer|faiss|dense|none|reverse|grounded|ollama,GenKnowledge,fixed,sentence_transformer,faiss,dense,none,reverse,grounded,ollama,50,50,0.41272307104660044,0.15365530547883488,0.389,0.62,done
grounded_bge_norerank.yaml,fixed|sentence_transformer|faiss|dense|none|reverse|grounded|ollama,CustomerSupport,fixed,sentence_transformer,faiss,dense,none,reverse,grounded,ollama,50,49,0.24110309512045514,0.09616191849858956,0.2624716553287982,0.40816326530612246,done
